year,country,"Stocks traded, total value (% of GDP)","Inflation, consumer prices (annual %)","Stocks traded, turnover ratio of domestic shares (%)",Tax revenue (% of GDP),GDP per capita (current US$),"Central government debt, total (% of GDP)",Gini index (World Bank estimate),Broad money (% of GDP),"Total reserves (includes gold, current US$)","International migrant stock, total",Income share held by highest 10%,Poverty headcount ratio at national poverty lines (% of population),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Exports of goods and services (% of GDP),timestamp
2009,RUS,41.7447656223311,11.6473295764118,67.0035336261478,12.9563524123963,8562.81327716515,8.69786633508402,39.8,49.2988178555608,4.39341754765015E11,,31.1,13.0,68.6846341463415,9.2,8.3,27.938101204296,1635723714314
2010,RUS,33.2379981532932,6.8493923025503,53.2801850428043,13.0483488461042,10674.9957825675,9.09810564475071,39.5,51.4391068859568,4.79222324221266E11,1.119471E7,30.6,12.5,68.8412195121951,8.9,7.37,29.2155607850389,1635723719326
2011,RUS,27.0895235759557,8.44046485932559,70.7329622918383,13.9542036796753,14311.0843159612,8.64108194430582,39.7,47.3864657151412,4.97410212789354E11,,31.1,12.7,69.6839024390244,8.7,6.54,28.0553614798549,1635723724339
2012,RUS,15.4107834675861,5.0747430079915,41.233368818083,13.7546730412872,15420.8745413273,8.55140859340356,40.7,47.2894158000922,5.37816372807129E11,,32.2,10.7,70.0721951219512,8.4,5.44,26.9073203393663,1635723729399
2013,RUS,10.2731824830289,6.75371026220953,30.5596492507908,12.933492451261,15974.6446270517,9.06725564048848,40.9,51.2000295948384,5.09692074388888E11,,32.5,10.8,70.5787804878049,8.1,5.46,25.845336826255,1635723734411
2014,RUS,7.76692164788308,7.82341183865503,41.4430300594921,13.2553613046452,14095.648742954,11.2004612827286,39.9,54.2953308870049,3.86216337149112E11,,31.9,11.2,70.7436585365854,7.6,5.16,27.1110970517525,1635723739423
2015,RUS,8.60420163837357,15.5344050528404,29.8335185308756,10.6420948088217,9313.01362484996,13.5407657768558,37.7,61.8265826106004,3.68042950258841E11,1.1643276E7,29.7,13.3,71.1834146341463,7.0,5.57,28.703389442924,1635723744475
2016,RUS,10.9320046338995,7.04244762954798,25.7314352944118,9.18312209969854,8704.89841329594,14.2417395793548,36.8,59.4458285299143,3.77052204307946E11,,28.6,13.3,71.6512195121951,6.5,5.56,25.8544829769167,1635723749483
2017,RUS,9.24372614397006,3.68332944412231,23.1447089014067,10.2884056740183,10720.3326583505,,37.2,59.5222074143758,4.3273050796411E11,,29.2,13.2,72.4514634146342,5.9,5.21,26.0908809797568,1635723754495
2018,RUS,8.87996446926684,2.87829723647886,25.5452248436401,11.4687730024336,11287.3552780815,,37.5,59.1186442311284,4.68645216082719E11,,29.9,12.6,72.6621951219512,5.4,4.85,30.7932713033152,1635723759546
